;"Direzione Generale Bilancio
Servizio II
Ufficio di Statistica                                  ";;;;;;;;;;;;;
;Rilevazione 2017;;;;;;;;;;;;;
;MUSEI, MONUMENTI E AREE ARCHEOLOGICHE STATALI;;;;;;;;;;;;;
Tavola 5 - Serie regionale mensile Introiti Lordi*;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Regione;Gennaio;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre;Totale complessivo;
ABRUZZO;3.464,00;3.978,00;4.806,00;15.670,00;11.596,00;8.844,00;11.136,00;25.860,00;10.094,00;11.090,00;5.190,00;6.571,00;118.299,00;
BASILICATA;3.470,25;3.350,50;5.906,50;26.072,25;20.505,25;18.512,50;14.501,50;34.165,00;23.002,25;29.690,75;9.092,50;9.588,50;197.857,75;
CALABRIA;18.584,50;14.642,50;22.390,00;90.536,00;90.268,00;93.404,50;99.302,00;239.452,00;127.737,00;75.318,50;22.742,00;27.941,50;922.318,50;
CAMPANIA;1.458.082,07;1.372.348,36;2.102.570,29;5.136.395,47;5.329.249,40;4.952.873,85;4.886.027,16;5.406.933,94;5.570.476,98;4.986.432,42;1.951.111,55;2.170.333,92;45.322.835,41;
EMILIA ROMAGNA;104.061,50;85.222,70;140.810,50;413.628,00;276.843,00;207.703,40;199.205,40;305.678,50;301.086,80;277.901,10;137.210,50;153.434,60;2.602.786,00;
FRIULI-VENEZIA GIULIA;53.391,00;39.442,50;58.491,50;186.286,50;150.338,00;156.232,50;201.453,00;311.323,00;248.584,00;173.924,00;77.649,00;108.620,00;1.765.735,00;
LAZIO;3.812.689,50;4.117.520,50;5.518.308,00;7.600.839,50;7.850.721,00;7.320.120,00;7.600.757,50;7.411.614,50;7.738.268,00;7.711.785,50;4.880.262,50;4.286.821,50;75.849.708,00;
LIGURIA;15.810,20;12.622,50;23.124,60;51.209,40;32.382,20;32.201,40;70.862,80;62.585,70;42.172,50;34.112,40;27.405,60;29.372,20;433.861,50;
LOMBARDIA;576.486,35;508.709,70;612.979,35;1.028.205,80;833.059,30;801.430,65;819.827,55;1.003.812,75;935.980,25;822.089,00;619.695,15;632.478,05;9.194.753,90;
MARCHE;37.373,00;33.247,00;56.006,00;189.544,50;113.836,50;125.352,00;159.935,50;274.793,00;168.814,50;100.892,25;53.310,00;109.198,00;1.422.302,25;
MOLISE;828,00;1.054,00;3.418,00;10.797,00;7.138,00;7.793,00;6.599,50;20.067,00;6.204,00;6.286,00;2.637,50;3.121,00;75.943,00;
PIEMONTE;1.076.000,96;707.977,54;856.012,09;2.069.079,50;1.247.038,96;918.727,40;839.459,02;1.462.445,00;939.042,09;1.324.342,11;922.499,84;1.051.705,52;13.414.330,03;
PUGLIA;25.524,00;26.341,00;51.919,00;217.134,00;206.312,00;166.745,00;132.128,00;242.854,00;232.409,00;172.115,00;51.312,00;51.687,50;1.576.480,50;
SARDEGNA;14.840,50;13.479,50;27.052,50;142.405,00;165.693,50;186.722,00;242.944,00;330.461,00;288.741,50;153.667,50;25.967,00;17.835,50;1.609.809,50;
TOSCANA;1.554.149,50;1.521.860,50;2.290.088,25;3.630.205,50;3.795.723,25;3.734.213,25;3.662.406,25;3.872.050,25;3.945.649,50;3.565.964,25;2.013.876,50;1.885.921,50;35.472.108,50;
UMBRIA;16.664,69;10.643,61;20.391,09;62.518,67;52.596,90;53.402,90;60.675,04;97.156,93;63.551,59;48.459,24;25.422,47;33.146,34;544.629,48;
VENETO;160.220,30;178.634,81;226.407,96;406.113,19;369.782,74;340.882,81;271.923,87;300.691,47;375.315,39;373.471,76;200.905,48;187.656,98;3.392.006,76;
Totale complessivo;8.931.640,32;8.651.075,22;12.020.681,63;21.276.640,28;20.553.083,99;19.125.161,16;19.279.144,09;21.401.944,04;21.017.129,35;19.867.541,78;11.026.289,60;10.765.433,61;193.915.765,08;
;;;;;;;;;;;;;;
*  Al lordo dell'eventuale aggio spettante al Concessionario del servizio di biglietteria, ove presente.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
